FUNC __main__.main 32.9375 1744582988.0983 37.2500 1744582992.5872 0
CMDLINE /Users/av/Dropbox/__CODE/av_12_arc_po/.venv/bin/python main_old.py
MEM 0.343750 1744582987.9276
MEM 26.968750 1744582988.0312
MEM 35.390625 1744582988.1365
MEM 35.750000 1744582988.2386
MEM 35.750000 1744582988.3438
MEM 35.953125 1744582988.4475
MEM 36.062500 1744582988.5504
MEM 36.140625 1744582988.6517
MEM 36.156250 1744582988.7570
MEM 36.156250 1744582988.8594
MEM 36.250000 1744582988.9646
MEM 36.250000 1744582989.0687
MEM 36.359375 1744582989.1732
MEM 36.359375 1744582989.2769
MEM 36.359375 1744582989.3789
MEM 36.656250 1744582989.4806
MEM 36.656250 1744582989.5831
MEM 36.859375 1744582989.6870
MEM 36.859375 1744582989.7924
MEM 36.875000 1744582989.8972
MEM 36.984375 1744582990.0024
MEM 36.984375 1744582990.1063
MEM 37.000000 1744582990.2080
MEM 37.000000 1744582990.3111
MEM 37.000000 1744582990.4146
MEM 37.000000 1744582990.5198
MEM 37.000000 1744582990.6246
MEM 37.000000 1744582990.7260
MEM 37.015625 1744582990.8275
MEM 37.015625 1744582990.9292
MEM 37.062500 1744582991.0317
MEM 37.062500 1744582991.1352
MEM 37.062500 1744582991.2371
MEM 37.109375 1744582991.3377
MEM 37.109375 1744582991.4382
MEM 37.109375 1744582991.5398
MEM 37.125000 1744582991.6401
MEM 37.140625 1744582991.7455
MEM 37.140625 1744582991.8499
MEM 37.140625 1744582991.9520
MEM 37.140625 1744582992.0535
MEM 37.140625 1744582992.1559
MEM 37.140625 1744582992.2580
MEM 37.234375 1744582992.3596
MEM 37.234375 1744582992.4637
MEM 37.234375 1744582992.5689
